x,y,contrast,rms,std
74.6,89.5,5.4,3.7804614681183604e-05,3.480277792739196e-05
74.6,89.5,5.42,3.769113845531815e-05,3.4851082187902306e-05
74.6,89.5,5.4399999999999995,3.759485971727232e-05,3.490567423458327e-05
74.6,89.5,5.459999999999999,3.7506822603205106e-05,3.496212062090091e-05
74.6,89.5,5.479999999999999,3.742668136952728e-05,3.502026896259971e-05
74.6,89.5,5.499999999999998,3.734269828522467e-05,3.505911664286463e-05
74.6,89.5,5.519999999999998,3.7268736780966284e-05,3.511451014968133e-05
74.6,89.5,5.539999999999997,3.720976737487579e-05,3.5176565518847845e-05
74.6,89.5,5.559999999999997,3.716375837911552e-05,3.524249387704573e-05
74.6,89.5,5.5799999999999965,3.7110861395756545e-05,3.5296334828397e-05
74.6,89.5,5.599999999999996,3.70702388168716e-05,3.536115824346286e-05
74.6,89.5,5.619999999999996,3.702300928161917e-05,3.541057348100005e-05
74.6,89.5,5.639999999999995,3.6986595987120666e-05,3.5461041898963464e-05
74.6,89.5,5.659999999999995,3.696161198351135e-05,3.552771698628913e-05
74.6,89.5,5.679999999999994,3.69415760277362e-05,3.55949545576716e-05
74.6,89.5,5.699999999999994,3.692623971031692e-05,3.5662669152426034e-05
74.6,89.5,5.7199999999999935,3.691536317652045e-05,3.5730780014717e-05
74.6,89.5,5.739999999999993,3.690871501411707e-05,3.579921088819495e-05
74.6,89.5,5.759999999999993,3.6906072127106597e-05,3.586788981726994e-05
74.6,89.5,5.779999999999992,3.690721959689057e-05,3.593674895503826e-05
74.6,89.6,5.4,3.744548674946192e-05,3.437637906705629e-05
74.6,89.6,5.42,3.736033842140524e-05,3.444936948433829e-05
74.6,89.6,5.4399999999999995,3.726921908184306e-05,3.451280634184179e-05
74.6,89.6,5.459999999999999,3.71863111856314e-05,3.45778907865621e-05
74.6,89.6,5.479999999999999,3.7111265393838e-05,3.464447390439969e-05
74.6,89.6,5.499999999999998,3.702813189661491e-05,3.469615813019105e-05
74.6,89.6,5.519999999999998,3.6967574886396686e-05,3.476510862723384e-05
74.6,89.6,5.539999999999997,3.691388713010593e-05,3.483515812635138e-05
74.6,89.6,5.559999999999997,3.6860331750616544e-05,3.489593643322908e-05
74.6,89.6,5.5799999999999965,3.68074650077323e-05,3.495171126197525e-05
74.6,89.6,5.599999999999996,3.6766799214946556e-05,3.5009022057660585e-05
74.6,89.6,5.619999999999996,3.673644328094666e-05,3.508170770084689e-05
74.6,89.6,5.639999999999995,3.671149501271476e-05,3.5154961786917214e-05
74.6,89.6,5.659999999999995,3.669168670202747e-05,3.5228692739949994e-05
74.6,89.6,5.679999999999994,3.667675957419218e-05,3.53028141036684e-05
74.6,89.6,5.699999999999994,3.666646370169616e-05,3.537724431521259e-05
74.6,89.6,5.7199999999999935,3.6653214059495576e-05,3.5441011396372664e-05
74.6,89.6,5.739999999999993,3.6651291220412536e-05,3.551577485986762e-05
74.6,89.6,5.759999999999993,3.665330527808451e-05,3.559063124844082e-05
74.6,89.6,5.779999999999992,3.6659040482620974e-05,3.566551641183422e-05
74.6,89.69999999999999,5.4,3.713193901484488e-05,3.4000069919566285e-05
74.6,89.69999999999999,5.42,3.70373866210799e-05,3.4070199080266565e-05
74.6,89.69999999999999,5.4399999999999995,3.6951379735965294e-05,3.414193744064943e-05
74.6,89.69999999999999,5.459999999999999,3.686803545590642e-05,3.42045782934704e-05
74.6,89.69999999999999,5.479999999999999,3.681079188361786e-05,3.4288774006513085e-05
74.6,89.69999999999999,5.499999999999998,3.674780333610448e-05,3.436414829434243e-05
74.6,89.69999999999999,5.519999999999998,3.6691969106217236e-05,3.4440567399469906e-05
74.6,89.69999999999999,5.539999999999997,3.6642963688367196e-05,3.4517907423942277e-05
74.6,89.69999999999999,5.559999999999997,3.6600470828131184e-05,3.4596051149694986e-05
74.6,89.69999999999999,5.5799999999999965,3.656418357209514e-05,3.467488775797854e-05
74.6,89.69999999999999,5.599999999999996,3.652656704385824e-05,3.474339264025366e-05
74.6,89.69999999999999,5.619999999999996,3.648910918653264e-05,3.480662197534839e-05
74.6,89.69999999999999,5.639999999999995,3.646252264763237e-05,3.487624065663754e-05
74.6,89.69999999999999,5.659999999999995,3.644731982043047e-05,3.495632569379875e-05
74.6,89.69999999999999,5.679999999999994,3.64498970895901e-05,3.504680487037118e-05
74.6,89.69999999999999,5.699999999999994,3.6443959363222805e-05,3.512723399706468e-05
74.6,89.69999999999999,5.7199999999999935,3.6442351909759296e-05,3.5207748099778255e-05
74.6,89.69999999999999,5.739999999999993,3.643723478645305e-05,3.5277186662666526e-05
74.6,89.69999999999999,5.759999999999993,3.644342544977725e-05,3.535761401413062e-05
74.6,89.69999999999999,5.779999999999992,3.645327479403323e-05,3.543793337949383e-05
74.6,89.79999999999998,5.4,3.6982759989342515e-05,3.382918296007054e-05
74.6,89.79999999999998,5.42,3.6891306855407054e-05,3.3903778518994074e-05
74.6,89.79999999999998,5.4399999999999995,3.680837250927353e-05,3.397987801489165e-05
74.6,89.79999999999998,5.459999999999999,3.672800103234722e-05,3.404667820527914e-05
74.6,89.79999999999998,5.479999999999999,3.666063197912162e-05,3.412505480456764e-05
74.6,89.79999999999998,5.499999999999998,3.6600720287900005e-05,3.42045078099383e-05
74.6,89.79999999999998,5.519999999999998,3.6547929671194595e-05,3.4284908215320596e-05
74.6,89.79999999999998,5.539999999999997,3.6490888682756186e-05,3.4350516765588256e-05
74.6,89.79999999999998,5.559999999999997,3.6451010197777776e-05,3.4432214089322196e-05
74.6,89.79999999999998,5.5799999999999965,3.641730473823979e-05,3.451451716760315e-05
74.6,89.79999999999998,5.599999999999996,3.640195473215817e-05,3.460702095829685e-05
74.6,89.79999999999998,5.619999999999996,3.637187867968802e-05,3.4678890549079374e-05
74.6,89.79999999999998,5.639999999999995,3.635454714136183e-05,3.4762194620452956e-05
74.6,89.79999999999998,5.659999999999995,3.6342254539306244e-05,3.484573055124015e-05
74.6,89.79999999999998,5.679999999999994,3.6327445827634026e-05,3.4918285587966104e-05
74.6,89.79999999999998,5.699999999999994,3.6324280750716166e-05,3.500199325921032e-05
74.6,89.79999999999998,5.7199999999999935,3.632540231698418e-05,3.508570591035032e-05
74.6,89.79999999999998,5.739999999999993,3.6323251801542986e-05,3.515877929786915e-05
74.6,89.79999999999998,5.759999999999993,3.6344336415088864e-05,3.525195727803348e-05
74.6,89.79999999999998,5.779999999999992,3.6356620224362194e-05,3.53351539449796e-05
